*DESC,R,TB,LR,C,R,W,H,G,CF
*Description,Reserved,Top&BottomMargin,Left&RightMargin,#Columns,#Rows,Width,Height,Gutter,ContinuousForm?
4010 Address-Roll (15/16"x3-1/2"; 3-1/2"x6"),0,0.0,0.0,1,6,3.3,1.000,0,1
4011 Address-Roll (1-7/16"x4"; 4"x6"),0,0.000,0.000,1,4,3.8,1.5,0,1
4143 Address (15/16"x4"; 8-1/2"x12"),0,0.000,0.000,2,12,3.850,1.000,0.25,1
4144 Address (15/16"x2-1/2"; 8-1/2"x12"),0,0,0,3,12,2.250,1.0,0.350,1
4145 Address (15/16"x3-1/2"; 3-1/2"x6"),0,0.000,0.000,1,6,3.300,1.000,3.500,1
4146 Address (1-7/16"x4"; 4"x6"),0,0.000,0.000,1,4,3.8,1.500,0,1
4160 Name Badge (2-7/16"x3-1/2; 3-1/2"x5"),0,0.0,0.0,1,2,3.300,2.500,0,1
4161 Shipping-Red Border (2-15/16"x4"; 4"x6"),0,0.000,0.000,1,2,3.8,3.000,0,1
4162 Address-Clear (15/16"x3-1/2"; 3-1/2"x6"),0,0.0,0.0,1,6,3.3,1.0,0,1
4163 Piggy-Back (15/16"x3-1/2"; 3-1/2"x6"),0,0.0,0.0,1,6,3.3,1.0,0,1
4166 Index Card (5"x3"; 5"x6"),0,0.000,0.000,1,2,4.8,3.0,0,1
4167 Post Card (6"x3-1/2"; 6"x7"),0,0.000,0.000,1,2,5.8,3.5,0,1
4168 Rotary Index (2-1/6"x4"; 4"x6-1/2"),0,0.000,0.000,1,3,3.8,2.166666,0,1
4169 Rotary Index (5"x3"; 5"x6"),0,0.0,0.0,1,2,4.8,3.0,0,1
4240 5-1/4" Diskette (1-1/4"x4-3/4"; 4-3/4"x12"),0,0.0,0.0,1,8,4.550,1.5,0,1
4241 3-1/2" Diskette (2-3/4"x2-3/4"; 2-3/4"x6"),0,0.0,0.0,1,2,2.550,3.0,0,1
4249 Address-Green (15/16"x3-1/2"; 3-1/2"x6"),0,0.0,0.0,1,6,3.3,1.0,0,1
